id,"name","state","status",latitude,longitude
1,"Akron","AL","verified",32.878020000000000,-87.743989000000000
2,"Huntsville","AL","verified",34.729135000000000,-86.584979000000000
3,"Addison","AL","verified",34.202175000000000,-87.181384000000000
4,"Montgomery","AL","verified",32.380120000000000,-86.300629000000000
5,"Birmingham","AL","verified",33.520295000000000,-86.811504000000000
6,"Somerville","AL","verified",34.471155000000000,-86.799394000000000
7,"Albertville","AL","verified",34.269515000000000,-86.207944000000000
8,"Alexander City","AL","verified",32.938845000000000,-85.952950000000000
9,"Alexandria","AL","verified",33.766980000000000,-85.892347000000000
10,"Aliceville","AL","verified",33.129430000000000,-88.153104000000000
11,"Irvington","AL","verified",30.514973000000000,-88.222122000000000
12,"Andalusia","AL","verified",31.319599000000000,-86.495424000000000
13,"Anniston","AL","verified",33.657110000000000,-85.819449000000000
14,"Oneonta","AL","verified",33.948315000000000,-86.472939000000000
15,"Arab","AL","verified",34.322876000000000,-86.495350000000000
16,"Ashford","AL","verified",31.187665000000000,-85.234823000000000
17,"Ashville","AL","verified",33.836510000000000,-86.254749000000000
18,"Athens","AL","verified",34.804500000000000,-86.971279000000000
19,"Auburn","AL","verified",32.607465000000000,-85.481735000000000
20,"Prattville","AL","verified",32.461855000000000,-86.450749000000000
21,"Decatur","AL","verified",34.607389000000000,-86.979767000000000
22,"Mobile","AL","verified",30.686395000000000,-88.053239000000000
23,"Bay Minette","AL","verified",30.882904000000000,-87.773568000000000
24,"Clayton","AL","verified",31.878775000000000,-85.449644000000000
25,"Opelika","AL","verified",32.650500000000000,-85.380649000000000
26,"Berry","AL","verified",33.660343000000000,-87.600082000000000
27,"Valley","AL","verified",32.843965000000000,-85.180929000000000
28,"West Blocton","AL","verified",33.115377000000000,-87.118992000000000
29,"Centreville","AL","verified",32.944880000000000,-87.134714000000000
30,"Cleveland","AL","verified",33.991515000000000,-86.577049000000000
31,"Eight Mile","AL","verified",30.775282000000000,-88.177529000000000
32,"Boaz","AL","verified",34.197630000000000,-86.165596000000000
33,"Madison","AL","verified",34.705885000000000,-86.750953000000000
34,"Tuskegee","AL","verified",32.424055000000000,-85.689779000000000
35,"Florence","AL","verified",34.800465000000000,-87.675254000000000
36,"Brantley","AL","verified",31.582430000000000,-86.256884000000000
37,"Sylacauga","AL","verified",33.171565000000000,-86.250254000000000
38,"Killen","AL","verified",34.859229000000000,-87.529569000000000
39,"Brookwood","AL","verified",33.254320000000000,-87.326719000000000
40,"New Market","AL","verified",34.909465000000000,-86.427789000000000
41,"Union Springs","AL","verified",32.146145000000000,-85.712674000000000
42,"Hunstville","AL","verified",32.614360000000000,-86.680737000000000
43,"Letohatchee","AL","verified",32.052205000000000,-86.547334000000000
44,"Carbon Hill","AL","verified",33.888480000000000,-87.528889000000000
45,"Ozark","AL","verified",31.458955000000000,-85.640714000000000
46,"Cedar Bluff","AL","verified",34.217656000000000,-85.607709000000000
47,"Tuscaloosa","AL","verified",33.210435000000000,-87.566214000000000
48,"Rockford","AL","verified",32.889938000000000,-86.219170000000000
49,"Phenix City","AL","verified",32.467640000000000,-85.000823000000000
50,"Troy","AL","verified",31.809675000000000,-85.972173000000000
51,"Centre","AL","verified",34.152189000000000,-85.679685000000000
52,"Cherokee","AL","verified",34.755480000000000,-87.973404000000000
53,"Childersburg","AL","verified",33.276737000000000,-86.360671000000000
54,"Clanton","AL","verified",32.840570000000000,-86.631863000000000
55,"Butler","AL","verified",32.089355000000000,-88.221279000000000
56,"Citronelle","AL","verified",31.092724000000000,-88.238130000000000
57,"Grove Hill","AL","verified",31.709340000000000,-87.776644000000000
58,"CPinson","AL","verified",32.614360000000000,-86.680737000000000
59,"Ashland","AL","verified",33.274310000000000,-85.835464000000000
60,"Coffeeville","AL","verified",31.756960000000000,-88.091134000000000
61,"Leighton","AL","verified",34.697807000000000,-87.528989000000000
62,"Tuscumbia","AL","verified",34.731285000000000,-87.702839000000000
63,"Bremen","AL","verified",33.969667000000000,-86.990867000000000
64,"Cordova","AL","verified",33.754915000000000,-87.182199000000000
65,"Courtland","AL","verified",34.669075000000000,-87.308469000000000
66,"Cullman","AL","verified",34.174375000000000,-86.843454000000000
67,"Jasper","AL","verified",33.831278000000000,-87.281374000000000
68,"Dadeville","AL","verified",32.828850000000000,-85.764549000000000
69,"Daleville","AL","verified",31.307060000000000,-85.713914000000000
70,"Plantersville","AL","verified",32.659615000000000,-86.923664000000000
71,"Danville","AL","verified",34.414765000000000,-87.086909000000000
72,"Daphne","AL","verified",30.603905000000000,-87.901509000000000
73,"Verbena","AL","verified",32.753645000000000,-86.510739000000000
74,"Rainsville","AL","verified",34.495284000000000,-85.846467000000000
75,"Demopolis","AL","verified",32.504764000000000,-87.837854000000000
76,"Drdora","AL","verified",32.614360000000000,-86.680737000000000
